GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
koleksi-app,com.example.koleksi.service.impl,KoleksiServiceImpl,0,77,0,4,0,13,0,14,0,12
koleksi-app,com.example.koleksi.config,DataInitializer,0,34,1,1,0,10,1,2,0,2
koleksi-app,com.example.koleksi.config,SecurityConfig,62,24,0,0,9,8,5,3,5,3
koleksi-app,com.example.koleksi,KoleksiAppApplication,3,5,0,0,1,2,1,1,1,1
koleksi-app,com.example.koleksi.model,Koleksi,0,66,0,0,0,19,0,19,0,19
koleksi-app,com.example.koleksi.model,Kategori,0,17,0,0,0,5,0,5,0,5
koleksi-app,com.example.koleksi.model,User,0,24,0,0,0,7,0,7,0,7
koleksi-app,com.example.koleksi.service,UserService,0,42,0,0,0,8,0,4,0,4
koleksi-app,com.example.koleksi.controller,DashboardController,0,63,0,0,0,14,0,2,0,2
koleksi-app,com.example.koleksi.controller,AuthController,0,5,0,0,0,2,0,2,0,2
koleksi-app,com.example.koleksi.controller,KategoriController,0,31,0,0,0,9,0,4,0,4
koleksi-app,com.example.koleksi.controller,LaporanController,4,44,2,2,0,10,2,3,0,3
koleksi-app,com.example.koleksi.controller,KoleksiController,18,82,6,2,0,20,4,7,0,7
